skill;occurence
Techniques de teinture végétale;1
Techniques de plumasserie;2
Techniques de broderie;2
Techniques de plissage;3
Techniques d'assemblage « sellier »;1
Techniques d'assemblage « rembordé »;1
Techniques de prise de mesures (habillement);5
Lecture de dessins, croquis;4
Caractéristiques des matériaux souples;6
Transformation de matériaux souples;2
Types de morphologie;4
Utilisation de machines à bois;2
Utilisation de machine à triple entraînement;3
Utilisation de machine à coudre le cuir;5
Utilisation d'instrument et de logiciel de détermination de teinte (colorimètre, nuancier, ...);2
Techniques de garnissage;2
Techniques de gainage;1
Techniques de broderie main;2
Techniques d'assemblage/montage en habillement/confection;6
Caractéristiques des fils;7
Géométrie;7
Techniques de repassage;7
Appréciation esthétique;6
Calcul de métrage;5
Utilisation de machine à coudre;2
Caractéristiques morphologiques masculines;2
Caractéristiques morphologiques féminines;2
Couture flou;1
Caractéristiques des fourrures;1
Techniques d'assemblage des fourrures;1
Techniques d'application des apprêts, des teintes;1
Techniques d'application de garniture;1
Techniques de tissage main;1
Couture;3
Lecture de codes et symboles;8
Utilisation de machine à broder;2
Techniques de la passementerie;1
Logiciels de patronnage-gradation;2
Propriétés des couleurs;1
Mode et styles vestimentaires;3
Prêt-à-porter;1
Sportswear;3
Caractéristiques des articles de lingerie/balnéaire/corseterie;1
Prêt-à-porter de luxe;3
Caractéristiques des vêtements professionnels et de cérémonie;1
Caractéristiques des articles chaussants;1
Articles de bijouterie / joaillerie;2
Caractéristiques des linges de maison;1
Caractéristiques des textiles chaîne et trame;3
Caractéristiques des textiles maille;5
Caractéristiques des vêtements senior;1
Caractéristiques des vêtements enfant;3
Caractéristiques des vêtements junior, adolescent;1
Caractéristiques des vêtements femme;3
Caractéristiques des vêtements homme;3
Caractéristiques des textiles extensibles;3
Caractéristiques des vêtements premier âge;1
Positionnement de motifs d'impression, de dentelle, ...;1
Traçage à main levée;4
Logiciel Photoshop;6
Logiciel Corel Draw;4
Logiciel Quark Express;5
Logiciel Illustrator;6
Logiciel Lectra système;1
Logiciel Gerber;1
Techniques commerciales;95
Caractéristiques des matériaux de garnissage;1
Caractéristiques des sièges;1
Techniques de guindage de ressorts;2
Techniques de montage de sellerie;2
Techniques de capitonnage;2
Linge de maison;2
Techniques de cardage de fibres textiles;1
Techniques de découpe/façonnage de mousse;1
Techniques de dépoussiérage/désinfection de mousse;1
Procédures de sécurité sur chantier;5
Techniques d'imperméabilisation;2
Traitement anti-tâche;2
Science actuarielle;3
Logiciels de statistiques;11
Analyse statistique;54
Droit des assurances;11
Réglementation des produits d'assurances;13
Typologie du client;26
Produits d'assurance dommages;4
Produits d'assurance transport;2
Produits d'assurance vie;5
Produits d'assurance épargne;4
Produits d'assurance Incendie, Accidents, Risques Divers (IARD);5
Produits d'assurance prévoyance;3
Produits de réassurance;2
Produits d'assurance retraite;4
Produits d'assurance santé;3
Produits d'assurance collective multirisques;2
Produits d'assurance collective pour salariés;2
Produits d'assurance individuelle;2
Modélisation mathématique;3
Comptabilité générale;26
Principes de la relation client;37
Procédures de recouvrement de créances;7
Droit de la sécurité sociale;6
Droit fiscal;5
Logiciel de gestion clients;25
Recommandations AMF;14
Procédures d'indemnisation des sinistres;2
Caractéristiques des produits financiers;13
Analyse des risques;16
Techniques d'expertise de biens;3
Gestion juridique des contentieux;3
Droit commercial;36
Couverture de risques financiers;1
Réglementation de l'assurance des risques industriels;2
Couverture santé, prévoyance;1
Couverture de risques de catastrophes naturelles;2
Droit du travail;21
Gestion des Ressources Humaines;44
Finance;5
Économétrie;4
Logiciels de modélisation et simulation;15
Accidentologie;2
Gestion de sinistre;2
Audit interne;23
Logiciels financiers;2
Risques d'accidents corporels;2
Risques d'accidents de la circulation;2
Risques atomiques et chimiques;3
Risques naturels;6
Risques chantiers et constructions;2
Risques incendies;1
Produit d'assurances dommages/sinistres;1
Règles de sécurité routière;3
Réglementation du transport de matières et produits dangereux;12
Méthodes d'enquête;16
Techniques de l'expertise à distance en assurances;2
Gestion des risques (Risk Management);7
Gestion du risque vol;1
Gestion des risques incendie;1
Procédures de dépollution;7
Réglementation sécurité incendie;15
Techniques de protection et de prévention des pollutions;5
Techniques anti-intrusion;1
Réglementation de la réassurance;2
Production en assurances;1
Souscription en assurances;1
Réglementation de l'assurance habitation;1
Réglementation de l'assurance IARD (Incendie, Accidents, Risques Divers);1
Réglementation de l'assurance automobile;1
Réglementation de l'assurance Responsabilité Civile;1
Assurance-crédit;2
Réglementation de l'assurance Construction dommages-ouvrage;1
Traitement des opérations sur titres;2
Gestion des comptes clients;1
Normes rédactionnelles;40
Règles et consignes de sécurité;54
Réglementation bancaire;11
